,method_name,fNodeIndexStack,fDepth,fMixed,addUniqueLeafNode,addContentSpecNode,CHUNK_MASK,CHUNK_SHIFT,fElementDeclCount,fElementDeclContentSpecIndex,appendContentSpec,getContentSpec,printAttribute,getNextAttributeDeclIndex,getFirstAttributeDeclIndex,fCurrentElementIndex,setContentSpecIndex,fContentSpecCount,fContentSpecOtherValue,fContentSpecValue,fContentSpecType,fElementDeclType,fElementDeclName,fElementDeclLastAttributeDeclIndex,fElementDeclContentModelValidator,fElementDeclFirstAttributeDeclIndex,ensureElementDeclCapacity,get,LIST_FLAG,put,fIsImmutable,fEntityCount,fEntityIsPE,fEntityInExternal,ensureEntityDeclCapacity,nodeIndex,fOpStack,fPrevNodeIndexStack,getElementDeclIndex,MAX_HASH_COLLISIONS,fTableSize,INITIAL_BUCKET_SIZE,fHashTable,fCount,rebalance,hash,rehash,getNotationDeclIndex,setNotationDecl,createNotationDecl,getElementDecl,fEntityNotation,getEntityDeclIndex,fElementDeclIsExternal,fReadingExternalDTD,fPEntityStack,fPEDepth,fLeafCount,fQName,buildSyntaxTree,fEntityName,fEntityValue,fEntitySystemId,fEntityPublicId,fEntityBaseSystemId,fContentSpec,createContentSpec,setContentSpec,fSymbolTable,CHUNK_SIZE,resize,fAttributeDecl,getAttributeDecl,type,fQName2,PRIMES,setEntityDecl,createEntityDecl,fNotationBaseSystemId,fNotationName,fNotationSystemId,fNotationPublicId,fAttributeDeclIsExternal,fAttributeDeclType,fAttributeDeclDatatypeValidator,fAttributeDeclName,fAttributeDeclCount,fAttributeDeclNonNormalizedDefaultValue,fAttributeDeclDefaultValue,fAttributeDeclNextAttributeDeclIndex,fAttributeDeclEnumeration,fAttributeDeclDefaultType,ensureAttributeDeclCapacity,LIST_MASK,initializeContentModelStack,createChildModel,contentSpecTree,fNotationCount,ensureNotationDeclCapacity,fElementDecl,DEBUG,createElementDecl,setElementDecl,addContentSpecToElement,fDTDContentModelSource,fDTDSource,getElementContentModelValidator,rehashCommon,fHashMultipliers,MULTIPLIERS_MASK,length,fSimpleType,fCurrentAttributeIndex,createAttributeDecl,setAttributeDecl,getAttributeDeclIndex,fGrammarDescription,hash0,MULTIPLIERS_SIZE,generateSequence,ensureContentSpecCapacity
0,element,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,getContentSpecAsString,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,printAttributes,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,addContentSpecToElement,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,getContentSpec,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,createElementDecl,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,getElementDeclIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,setElementDecl,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,resize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,isImmutable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
