,method_name,getIncludeParentLanguage,isRootDocument,getIncludeParentDepth,getLanguage,fSeenRootElement,setRootElementProcessed,equals,fDTDHandler,notation,name,augmentations,addUnparsedEntity,unparsedEntityDecl,fDocumentHandler,endDocument,reportFatalError,scopeOfLanguage,XINCLUDE_NS_URI,fInDTD,startDTD,fSendUEAndNotationEvents,isDuplicate,notationDecl,addNotation,checkAndSendNotation,fDepth,STATE_NORMAL_PROCESSING,getState,modifyAugmentations,comment,fParentXIncludeHandler,searchForRecursiveIncludes,fIsXML11,xmlDecl,fDocumentSource,fSawInclude,setFeature,getRootElementProcessed,isTopLevelIncludedItemViaInclude,isTopLevelIncludedItemViaFallback,XINCLUDE_INCLUDE,hasXIncludeNamespace,systemId,publicId,checkNotation,checkAndSendUnparsedEntity,startExternalSubset,fNeedCopyFeatures,fSettings,ALLOW_UE_AND_NOTATION_EVENTS,fParentRelativeURI,isEqual,getRelativeBaseURI,getRelativeURI,fSawFallback,copyFeatures1,fDTDSource,XINCLUDE_FALLBACK,getSawFallback,saveBaseURI,doctypeDecl,getSawInclude,fResultDepth,expandedSystemId,STATE_EXPECT_FALLBACK,fFixupLanguage,STATE_IGNORE,setState,handleIncludeElement,isFallbackElement,isIncludeElement,handleFallbackElement,processXMLBaseAttributes,processXMLLangAttributes,checkMultipleRootElements,setSawInclude,processAttributes,restoreBaseURI,setSawFallback,emptyElement,startAttlist,startParameterEntity,startGeneralEntity,attributeDecl,reportResourceError,fXIncludeMessageFormatter,fErrorReporter,fDocLocation,baseURI,getIncludeParentBaseURI,getBaseURI,fXIncludeLocator,fCurrentLanguage,fCurrentBaseURI,CURRENT_BASE_URI,fNamespaceContext,setupCurrentBaseURI,saveLanguage,startDocument,BUFFER_SIZE,fXInclude10TextReader,fBufferSize,fChildConfig,fXInclude11TextReader,SECURITY_MANAGER,SYMBOL_TABLE,fSecurityManager,ENTITY_RESOLVER,fSymbolTable,fEntityResolver,ERROR_REPORTER,setProperty,setErrorReporter,processingInstruction,startConditional,scopeOfBaseURI,VALIDATION,JAXP_SCHEMA_LANGUAGE,PARSER_SETTINGS,SCHEMA_VALIDATION,XINCLUDE_FIXUP_BASE_URIS,DYNAMIC_VALIDATION,fState,fFixupBaseURIs,XINCLUDE_FIXUP_LANGUAGE,copyFeatures,getResultDepth,getPropertyDefault,textDecl,elementDecl,reportError,fHrefFromParent,ignorableWhitespace,XINCLUDE_INCLUDED,isTopLevelIncludedItem,endAttlist,fXIncludeChildConfig,fXPointerChildConfig,setDocumentHandler,endGeneralEntity,externalEntityDecl,FEATURE_DEFAULTS,RECOGNIZED_FEATURES,endConditional,startCDATA,endDTD,startElement,ignoredCharacters,XML_BASE_QNAME,XML_LANG_QNAME,sameLanguageAsIncludeParent,checkUnparsedEntity,sameBaseURIAsIncludeParent,gNeedEscaping,gHexChs,gAfterEscaping1,gAfterEscaping2,endCDATA,endExternalSubset,PROPERTY_DEFAULTS,RECOGNIZED_PROPERTIES,checkWhitespace,characters,internalEntityDecl,XINCLUDE_ATTR_ACCEPT_LANGUAGE,fXPtrProcessor,XINCLUDE_ATTR_PARSE,XINCLUDE_PARSE_TEXT,XINCLUDE_ATTR_ENCODING,fHasIncludeReportedContent,XPOINTER,XINCLUDE_ATTR_HREF,XINCLUDE_ATTR_ACCEPT,XINCLUDE_DEFAULT_CONFIGURATION,XINCLUDE_PARSE_XML,createInputSource,setXIncludeLocator,isValidInHTTPHeader,setParent,escapeHref,setHref,getDocumentHandler,restoreLanguage,endElement,endParameterEntity
0,getIncludeParentLanguage,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,setRootElementProcessed,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,equals,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,unparsedEntityDecl,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,endDocument,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,getLanguage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,hasXIncludeNamespace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,startDTD,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,checkAndSendNotation,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,comment,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
